directed_by|no_in_season|no_in_series|original_air_date|production_code|title|us_viewers_millions|written_by|nth_season|show|corpus_url|source|corpus
Richard Dobbs|13|266|2002-01-30 00:00:00||DR 1-102||Aaron Zelman, Marc Guggenheim|12|original|http://www.tv.com/shows/law-order/dr-1-102-114137/recap|http://www.tv.com|Briscoe and Green arrive at the scene finding two young women brutally murdered in their apartment.  A party across the hall gives them the opportunity to question several people as possible suspects, but none of them are the killer.  Following a red herring, they spend time tracking down one of the victim's drug (heroin) connections but to no avail.  Going back to square one, they decide the killer had access to the building because they couldn't find anyone who buzzed him or her in before the murders.During the re-canvassing they discover a tenant saw a workman leaving the building.  Adding this question to their canvassing, they come up with another red herring but zone in on the workman's clothing.  This leads them to a locksmith business with access to the building and to the locks.  Upon future questioning Briscoe and Green decide to look deeper into the locksmith's nephew.Going to the suspect's apartment, they discover he lives with his mother.  After talking their way into his room, they find newspaper clippings of recent crimes, which gravely concerns them.  Tracking the nephew down at a nearby pharmacy proves today is not our hero's day.  A routine pick-up turns into a hostage situation and the basis for the courtroom side of the show. The nephew requests a lawyer (as in one will be appointed for you).  Assistant District Attorney Southerlyn decides this is her opportunity to assist and to obtain a confession.  She tells the suspect she is a lawyer and shows her bar membership card.  She specifically avoids showing her D.A. badge.  Thinking he is talking to his lawyer instead of the city's lawyer, he confesses.  She talks him into freeing the hostage and giving up by implying she will get him a good deal.The nephew's real lawyer discovers from his client that Ms. Southerlyn is his legal representative.  The new lawyer attempts to have the confession thrown out because it should be a privileged communication between a lawyer and a client, even if the lawyer is a DA.  The Judge finds the confession admissible because the hostage was a third party, which negated the client-lawyer privilege. The nephew's lawyer failed to make a case that Ms. Southerlyn's representation was ineffective as she failed to inform him a third party would negate the client-lawyer privilege and hence the confession was still inadmissible.McCoy negotiates the crimes to murder two, instead of murder one because of this plot twist.The New York Disciplinary Committee receives a complaint from the nephew and his lawyer about Ms. Southerlyn's behavior and says she violated section DR 1-102 of the New York Bar Associations Rules and Ethics.  McCoy represents her, as no private attorney will take the case, at the hearing.  In the meantime their boss suspends her pending the results of the hearing.  Facing disbarment Ms. Southerlyn must face the day and her decision over again.  McCoy's argues the ends justify the means and the court should allow district attorneys the same rights to lie as the police got from the courts.  The panel rules against Ms. Southerlyn and Mr. McCoy saying the ends can never ever justify the means.  Society must have the ethics of lawyers and the court to protect them from anarchy and nothing justifies the breaking the code of ethics.  Clearly, Ms. Southerlyn actions saved the hostage but her obtaining the confession went too far.  The panel finds her guilty of violating section D 1-102 but does not disbar her.  They recommend to the appeals court she receives a private letter of reprimand.  Her boss reinstates her to the court calendar, as the show ends.
David Platt|14|267|2002-02-06 00:00:00||Missing||Eric Overmyer, Matt Witten, Barry Schindel|12|original|http://www.tv.com/shows/law-order/missing-114138/recap|http://www.tv.com|
Constantine Makris|15|268|2002-02-27 00:00:00||Access Nation||Sean Jablonski, Teri Kopp|12|original|http://www.tv.com/shows/law-order/access-nation-121560/recap|http://www.tv.com|
Jace Alexander|16|269|2002-03-06 00:00:00||Born Again||Jill Goldsmith, Matt Witten, William N. Fordes|12|original|http://www.tv.com/shows/law-order/born-again-123756/recap|http://www.tv.com|
Steve Shill|17|270|2002-03-27 00:00:00||Girl Most Likely||Lynn Mamet|12|original|http://www.tv.com/shows/law-order/girl-most-likely-132259/recap|http://www.tv.com|
James Quinn|18|271|2002-04-03 00:00:00||Equal Rights||Terri Kopp|12|original|http://www.tv.com/shows/law-order/equal-rights-132260/recap|http://www.tv.com|
Constantine Makris|19|272|2002-04-10 00:00:00||Slaughter||Rob Wright|12|original|http://www.tv.com/shows/law-order/slaughter-132261/recap|http://www.tv.com|
Lewis H. Gould|20|273|2002-04-24 00:00:00||Dazzled||Eric Overmyer, Matt Witten|12|original|http://www.tv.com/shows/law-order/dazzled-138719/recap|http://www.tv.com|
Richard Dobbs|21|274|2002-05-01 00:00:00||Foul Play||Richard Sweren, Stuart Feldman|12|original|http://www.tv.com/shows/law-order/foul-play-138720/recap|http://www.tv.com|
Matthew Penn|22|275|2002-05-08 00:00:00||Attorney Client||Jill Goldsmith|12|original|http://www.tv.com/shows/law-order/attorney-client-138721/recap|http://www.tv.com|
Constantine Makris|23|276|2002-05-15 00:00:00||Oxymoron||Michael Harbert|12|original|http://www.tv.com/shows/law-order/oxymoron-138722/recap|http://www.tv.com|"The detectives uncover a seven-digit number on a slip of paper inside her pocket, which turns out to be a hack driver's ID. They track down the cab driver who claims he dropped the woman off on 60th St. and there was a black Infiniti waiting for her. But she died 33 blocks uptown. The Detectives retrace her steps and discover she had been at a ""swingers"" party where she got into a fight with another woman, Alexandra Shabtai, who works at a nightclub and ID's the dead woman as Eliza Glaser, a cosmetic dermatologist who was providing her with the narcotic Oxycodone."
David Platt|24|277|2002-05-22 00:00:00||Patriot||William N. Fordes, Sean Jablonski|12|original|http://www.tv.com/shows/law-order/patriot-138723/recap|http://www.tv.com|
Constantine Makris|1|278|2002-10-02 00:00:00||American Jihad||Aaron Zelman, Marc Guggenheim|13|original|http://www.tv.com/shows/law-order/american-jihad-178750/recap|http://www.tv.com|
Constantine Makris|2|279|2002-10-09 00:00:00||Shangri-La||Michael S. Chernuchin|13|original|http://www.tv.com/shows/law-order/shangri-la-186956/recap|http://www.tv.com|
Martha Mitchell|3|280|2002-10-16 00:00:00||True Crime||Wendy Battles, Noah Baylin|13|original|http://www.tv.com/shows/law-order/true-crime-189359/recap|http://www.tv.com|
David Platt|4|281|2002-10-30 00:00:00||Tragedy on Rye||William N. Fordes|13|original|http://www.tv.com/shows/law-order/tragedy-on-rye-194177/recap|http://www.tv.com|
Richard Dobbs|5|282|2002-11-06 00:00:00||The Ring||Michael S. Chernuchin|13|original|http://www.tv.com/shows/law-order/the-ring-195997/recap|http://www.tv.com|
Richard Dobbs|6|283|2002-11-13 00:00:00||Hitman||Eric Overmyer|13|original|http://www.tv.com/shows/law-order/hitman-195998/recap|http://www.tv.com|
Matthew Penn|7|284|2002-11-20 00:00:00||Open Season||Richard Sweren|13|original|http://www.tv.com/shows/law-order/open-season-203599/recap|http://www.tv.com|
Steve Shill|8|285|2002-11-27 00:00:00||Asterisk||Terri Kopp|13|original|http://www.tv.com/shows/law-order/episode-210018/recap|http://www.tv.com|
Richard Dobbs|9|286|2002-12-11 00:00:00||The Wheel||Jill Goldsmith|13|original|http://www.tv.com/shows/law-order/the-wheel-210019/recap|http://www.tv.com|
Jace Alexander|10|287|2003-01-08 00:00:00||Mother's Day||Janis Diamond|13|original|http://www.tv.com/shows/law-order/mothers-day-219155/recap|http://www.tv.com|
Ed Sherin|11|288|2003-01-15 00:00:00||Chosen||Michael S. Chernuchin|13|original|http://www.tv.com/shows/law-order/chosen-219635/recap|http://www.tv.com|
Gloria Muzio|12|289|2003-02-05 00:00:00||Under God||Marc Guggenheim, Noah Baylin|13|original|http://www.tv.com/shows/law-order/under-god-226469/recap|http://www.tv.com|
Martha Mitchell, Darnell Martin|13|290|2003-02-12 00:00:00||Absentia||Eric Overmyer|13|original|http://www.tv.com/shows/law-order/absentia-226470/recap|http://www.tv.com|
David Platt|14|291|2003-02-19 00:00:00||Star Crossed||Richard Sweren|13|original|http://www.tv.com/shows/law-order/star-crossed-226471/recap|http://www.tv.com|
Constantine Makris|15|292|2003-02-26 00:00:00||Bitch||Michael S. Chernuchin, Roz Weinman|13|original|http://www.tv.com/shows/law-order/bitch-226472/recap|http://www.tv.com|A guy and a girl enter a house so that the guy can show the girl this dog, and find the dog lying next to a body. The medical examiner determines that though the victim did fall down the stairs, being hit in the head with a golf club is what killed him. Briscoe and Green meet with the woman he was supposed to meet up with the day he was killed, and are led to a store that sells high-priced women's clothing. From there they meet two women; the first has a solid alibi, and the second is Lindsay, a photographer who is also the victim's girlfriend. Lindsay claims she was at a photo shoot with cosmetics mogul Jackie Scott, which is confirmed by Jackie. Upon a review of the victim's client list, A.D.A. Serena discovers that Jackie Scott is Lindsay's mother and that both of them were sleeping with the victim. Briscoe and Green talk to Lindsay's nanny, which leads them to a picture that Lindsay took of a marathon the day the victim was killed proving that she was not at the photoshoot at all. Briscoe and Green confront Jackie with this fact, and Jackie confirms that she was having an affair with her daughter's boyfriend when Lindsay appears. Lindsay then recants her story and said that the only reason she said that was because she knew her mom would be at her office and when Briscoe and Green ask if she killed the victim because he was sleeping with her mother, Lindsay says she didn't know anything about an affair. Briscoe and Green return to Jackie's office to ask her where she really was when Jackie storms in with cards that had accidently been delivered to her, revealing to Lindsay that her mother was sleeping with the victim/her boyfriend. Lindsay then burst outs saying that she was the one who killed the victim.Later, Jackie meets with D.A. Arthur and asks him to forget the case because they're old friends, but Arthur refuses. Back at the DA's office Arthur says that he's suspicious of Jackie and has Serena look into Jackie and why she would have killed the victim. When Serena reviews Jackie's stocks, she discovers that Jackie sold all of her stock in one company days before the company's stocks fell, revealing that Jackie had inside information. Further research into the matter reveals that Jackie could only sell certain stocks if the victim allowed her to, i.e. her motive for killing the vicitim.In order to get condemning evidence on Jackie, Arthur has Lindsay released but has her phone wiretapped, which provides them with the evidence they need. At arraignment, Jackie is put under house arrest, is forced to wear a tracking device and loses her passport. Lindsay comes to Arthur's office and begs him to help Jackie, but Arthur refuses. Jackie's lawyer asks that Jackie be given an evaluation to see if hormone replacement therapy withdrawal could have caused her to kill the victim, and is evaluated by Dr. Emil Skoda and Dr. Elizabeth Olivet. After the evaluation is over, McCoy decides to use Dr. Olivet as a witness and not Dr. Skoda.At trial, Jack McCoy asks Dr. Olivet if Jackie's hormone problems could trigger her to kill and Olivet says no. Jackie's lawyer tries to make Olivet seem unqualifed, and asks if she has the right education to make an evaluation. Then to McCoy's surprise, Dr. Skoda is called by the defense, and discovers that they forgot to take him off their witness list. The defense asks Dr. Skoda if sleep deprived people are more likely to kill or cause acts of violence, to which Skoda says that the sleep deprived are more likely to attack someone. McCoy then asks Dr. Skoda if being sleep deprived would cause someone to kill, to which Dr. Skoda says no. Jackie is finally put on the stand and says she has no memory of killing the victim. McCoy asks if she remembered how she got there and how she got home, and Jackie says she does and that she even remembers tipping the cab driver. McCoy says that it's ironic that she would remember tipping the cab, but not killing the victim.Later, Arthur offers Jackie a deal, Manslaughter One, but Jackie doesn't take it. However, when Arthur reveals that he'd like to cross-examine her himself, asking about every little thing, Jackie caves and takes the deal.
